"","id","Observed","Shannon","InvSimpson","sample","reef","site"
"1","I2A",108,3.36718004620752,7.9307120357657,"I2A_S30_L001_R1_001","Inshore","STRI Point"
"2","I2B",78,2.53002159940095,6.45185663267842,"I2B_S77_L001_R1_001","Inshore","STRI Point"
"3","I2C",289,5.08204522951919,98.4371808858826,"I2C_S90_L001_R1_001","Inshore","STRI Point"
"4","I2D",321,5.2605938079476,125.570609764519,"I2D_S54_L001_R1_001","Inshore","STRI Point"
"5","I2E",248,4.20447906417532,20.6261468375717,"I2E_S41_L001_R1_001","Inshore","STRI Point"
"6","I2F",195,4.13083850648506,27.9179178542498,"I2F_S4_L001_R1_001","Inshore","STRI Point"
"7","I2G",118,3.81550239555535,18.3378416834097,"I2G_S89_L001_R1_001","Inshore","STRI Point"
"8","I2H",297,5.16446204119687,110.140953798179,"I2H_S27_L001_R1_001","Inshore","STRI Point"
"9","I2I",323,5.01563835112362,61.6125087400653,"I2I_S31_L001_R1_001","Inshore","STRI Point"
"10","I3A",60,3.42468035872583,18.2848144348676,"I3A_S87_L001_R1_001","Inshore","Cristobal"
"11","I3B",142,3.70127257892378,17.7812296896785,"I3B_S42_L001_R1_001","Inshore","Cristobal"
"12","I3C",305,5.02815324077641,76.8057601185718,"I3C_S52_L001_R1_001","Inshore","Cristobal"
"13","I3D",453,5.38117219523952,91.8952841960576,"I3D_S3_L001_R1_001","Inshore","Cristobal"
"14","I3E",661,5.46895209974948,91.3100370354865,"I3E_S17_L001_R1_001","Inshore","Cristobal"
"15","I3F",467,5.42083461157198,91.6827234981431,"I3F_S65_L001_R1_001","Inshore","Cristobal"
"16","I3G",348,5.1486967544781,105.90462843138,"I3G_S55_L001_R1_001","Inshore","Cristobal"
"17","I3H",345,5.34963531670728,132.232358294956,"I3H_S76_L001_R1_001","Inshore","Cristobal"
"18","I3I",191,4.59374607343567,60.7214736674607,"I3I_S37_L001_R1_001","Inshore","Cristobal"
"19","I4A",70,3.08205164710199,10.5207090820273,"I4A_S40_L001_R1_001","Inshore","Punta Donato"
"20","I4B",530,5.60867138150112,131.341531848459,"I4B_S15_L001_R1_001","Inshore","Punta Donato"
"21","I4C",385,4.90521556698709,48.7256115624633,"I4C_S53_L001_R1_001","Inshore","Punta Donato"
"22","I4D",148,2.14968865853441,2.31215139200254,"I4D_S28_L001_R1_001","Inshore","Punta Donato"
"23","I4E",298,4.90513928990942,69.6435754423346,"I4E_S67_L001_R1_001","Inshore","Punta Donato"
"24","I4F",236,4.60629164446966,47.9517692722982,"I4F_S6_L001_R1_001","Inshore","Punta Donato"
"25","I4G",149,1.7771135563693,2.03425972986371,"I4G_S74_L001_R1_001","Inshore","Punta Donato"
