sample_uid,id,reef,site,A4,3019_A,3020_A,3021_A,3022_A,3095_A,3023_A,A4b,3024_A,3025_A,3096_A,3026_A,3027_A,3028_A,3029_A,3030_A,3097_A,3098_A,3099_A,3100_A,3101_A,3102_A,A4a,3103_A,3104_A,3105_A,3106_A,3134_A,3107_A,3108_A,3109_A,3110_A,3111_A,B5,3060_B,3058_B,3057_B,3059_B,B5a,B1,3061_B,B2,3066_B,B5ae,3063_B,3074_B,3065_B,3146_B,3073_B,3062_B,3064_B,3147_B,3081_B,3067_B,3068_B,3069_B,3070_B,3071_B,3148_B,3072_B,3075_B,3076_B,3077_B,3078_B,3079_B,3080_B,3130_B,3082_B,3083_B,3084_B,3085_B,3086_B,3087_B,3088_B,3089_B,3090_B,3091_B,3092_B,3093_B,3094_B,C1,C3,C1c,C1b,C72k,C1al,3018_C,C1w,C3af,C3y,3032_C,C6a,3033_C,3035_C,C1bc,C1u,C42.2,2410_C,C1am,3039_C,1401_C,3054_C,3036_C,3150_C,3042_C,C1ao,3113_C,C3db,C1an,C3cm,3053_C,3123_C,1444_C,C50f,3043_C,1622_C,C1l,C1t,3034_C,C1br,C1bh,3151_C,3127_C,3055_C,3132_C,3133_C,3116_C,C1cb,3038_C,3047_C,3152_C,3118_C,C3cb,3140_C,3153_C,3154_C,3044_C,3128_C,3045_C,3155_C,3156_C,3046_C,C36,3122_C,3056_C,3157_C,3143_C,3114_C,3135_C,3120_C,3049_C,3119_C,3142_C,3115_C,3117_C,C3cy,2232_C,3136_C,3145_C,2619_C,3141_C,3144_C,3121_C,D1,D4,D4c,D1c,D2,D1h,D1k,D1n,D5,D4i,3112_D,3040_D,3050_D,3037_D,D17d,D1r,D17c,D17e,3041_D,3138_D,D17k,D17j,3124_D,D5m,3048_D,3051_D,D17l,D4j,3149_D,3052_D,3139_D,3137_D,3126_D,3125_D,3031_D,3129_D,3131_D
331,I2A,inshore,STRI Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6583,119,913,147,192,123,105,64,0,0,69,0,0,84,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,48,0,0,0,0,0,0,0,39,0,0,0,45,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,I2B,inshore,STRI Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8146,141,1075,253,256,171,145,127,0,0,82,0,64,81,50,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,I2C,inshore,STRI Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164,159,526,101,97,93,49,51,0,0,34,0,30,53,26,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,I2D,inshore,STRI Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6195,1111,890,222,178,160,111,114,0,0,64,0,0,54,41,0,59,0,0,44,0,0,46,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,I2E,inshore,STRI Point,0,0,0,0,0,252,0,0,0,0,96,0,0,0,0,0,41,21,20,20,16,12,0,10,7,7,6,0,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8395,175,1552,415,227,304,147,94,0,0,83,0,78,53,82,0,192,0,0,53,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,71,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,I2F,inshore,STRI Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6028,100,749,116,144,78,104,56,0,0,45,0,36,0,0,0,0,0,0,35,0,0,42,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,I2G,inshore,STRI Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3734,71,488,109,127,94,78,56,0,0,38,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,I2H,inshore,STRI Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4282,1335,216,247,126,0,0,0,28,39,0,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,I2I,inshore,STRI Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486,47,418,81,106,47,0,44,0,0,20,0,0,0,0,0,52,0,0,0,0,0,0,0,20,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,16,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,137,71,43,19,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,5,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0
340,I3A,inshore,Cristobal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5032,68,1491,95,119,282,49,62,0,0,35,0,0,33,81,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,46,0,35,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,44,0,39,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
