,sq1,sq2,sq3,sq4,sq6,sq7,sq8,sq12,sq13,sq14,sq18,sq20,sq21,sq22,sq23,sq24,sq26,sq27,sq28,sq30,sq31,sq32,sq33,sq34,sq36,sq38,sq39,sq40,sq41,sq42,sq43,sq44,sq45,sq46,sq47,sq48,sq49,sq50,sq51,sq52,sq53,sq54,sq55,sq56,sq57,sq58,sq59,sq60,sq61,sq62,sq64,sq65,sq66,sq67,sq68,sq70,sq71,sq72,sq74,sq75,sq76,sq77,sq78,sq79,sq81,sq82,sq83,sq85,sq87,sq89,sq90,sq91,sq92,sq93,sq95,sq97,sq98,sq99,sq101,sq103
I2A,0,7120,0,175,983,0,706,0,214,136,0,78,0,0,128,0,0,0,0,0,55,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2B,3,8450,0,192,1137,0,883,0,236,197,0,151,0,0,151,0,151,0,0,0,56,0,0,46,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C,0,3393,0,205,551,0,349,0,138,102,900,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2D,8,6619,0,1297,982,0,723,0,218,150,0,133,46,0,129,0,104,0,0,0,49,62,0,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2E,0,9165,0,231,1652,0,803,0,227,357,0,107,0,0,152,0,0,0,0,0,102,253,0,39,68,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,81,138,0,0,55,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,7,0,0,0,0
I2F,0,6768,3,128,922,0,728,0,243,104,0,0,0,0,127,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2G,0,3958,0,106,550,0,436,0,127,87,0,68,0,0,83,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2H,4757,0,1818,0,0,239,0,0,0,0,0,0,0,73,0,0,0,0,0,47,0,0,0,0,0,0,39,0,32,21,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2I,464,2711,200,62,466,83,276,0,155,58,0,0,0,0,0,0,0,0,0,0,0,59,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
I3A,0,5642,0,105,1574,0,435,0,160,380,0,78,0,0,0,0,0,0,0,0,94,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
