id,Axis.1,Axis.2,Axis.3,Axis.4,Axis.5,Axis.6,Axis.7,Axis.8,Axis.9,Axis.10,Axis.11,Axis.12,Axis.13,Axis.14,Axis.15,Axis.16,Axis.17,Axis.18,Axis.19,Axis.20,Axis.21,Axis.22,Axis.23,Axis.24,Axis.25,Axis.26
I2A,-0.59054429,-0.094753274,-0.189524513,0.057394423,0.0756253,-0.003575877,-0.035690655,0.048387356,-0.015519702,-0.011871837,-0.009384091,0.001913394,0.010354026,0.00864263,-0.011161853,0.024003879,0.019588009,0.006687577,0.00021033,0.000939998,-0.000564735,0.002525945,0.00106592,-0.00210296,4.32E-05,0.000148576
I2B,-0.602878279,-0.10870802,-0.111457911,0.101069808,-0.013303142,0.067439595,-0.004861335,-0.025918443,0.00729429,-0.012198394,0.012765748,-0.02021426,0.01159551,-0.004232555,0.007473113,0.001447025,0.009731235,0.006352784,-0.002628453,-0.000797989,-0.002991667,-0.009168357,-0.002257229,0.002569801,0.0002357,-0.000273146
I2C,-0.601863139,-0.108151771,-0.115881708,0.101176153,-0.011566031,0.065945874,-0.010619049,-0.030233491,0.00882347,-0.006812092,0.01785008,-0.023153192,0.015732922,-0.004970163,0.00631764,-0.009532925,-0.000935248,0.002116313,0.005131785,0.001677749,0.002656035,0.008722696,0.001573145,-0.002730865,-0.000130547,0.000401148
I2D,-0.595653896,-0.128627283,-0.008331872,-0.004144634,-0.034619066,-0.158343673,-0.095023693,0.036387293,-0.01985449,0.004196432,-0.035713521,0.027888983,-0.022453674,0.000362509,-0.019533407,0.010353355,0.003036522,-0.002165851,-0.000109557,-0.00140917,0.001046129,0.000392093,0.000584706,0.001165086,-0.000174231,0.000137731
I2E,-0.598806928,-0.134874174,0.019794366,0.031389703,-0.096957992,-0.081415786,-0.089677742,-0.066331895,0.022491351,0.013479843,0.001155966,0.002207809,-0.023146676,-0.00567268,0.008093365,-0.017956272,-0.006943576,-0.001430055,0.000520288,0.000164086,-0.001076648,-0.001530914,-0.000562099,-0.002195278,0.000119567,-0.000235568
I2F,-0.599868599,-0.103342994,0.155412515,-0.031353866,-0.033740656,0.04974382,0.068480695,0.019035117,0.000838647,-0.011830549,-0.006669527,0.002084409,-0.013479083,-0.00333917,-0.001434893,-0.000339329,-0.00046033,0.00072378,-0.001906321,0.000275707,-0.001173859,0.006417744,0.001986241,-0.009987415,-0.000407045,-0.001237957
I2G,-0.588826307,-0.081519425,-0.17693231,-0.015203698,0.109091375,-0.049348724,0.15787129,0.014990352,-0.026721691,-0.022739331,-0.009645982,0.006962212,-0.011125811,-0.008781291,-0.011103897,-0.003974477,0.002472096,0.002688449,-0.001215346,-0.000470774,6.51E-05,4.13E-05,-0.00042695,9.55E-05,-9.27E-05,3.19E-05
I2H,0.371698539,0.015784902,0.067953462,0.10687559,0.086152366,0.009729631,-0.006646637,-0.032036403,-0.035753238,0.015424428,0.024697819,-0.014986503,-0.029504506,-0.020554644,-0.01007236,0.024130468,-0.006526004,-0.005867782,0.001118791,0.008675453,-0.001752878,-0.000808395,0.0007361,-0.00014225,-0.001218958,-0.000458775
I2I,0.066416833,-0.132739518,0.034981507,0.062161913,0.088744076,-0.166493624,0.060892598,0.011768207,0.056989234,-0.029109523,0.031310111,0.026132084,0.021793965,0.015728548,-0.010551175,-5.08E-05,-0.008385702,0.003643192,-0.000933948,0.003039289,-0.002543254,0.000127777,-0.00041578,6.58E-05,0.000175855,3.81E-05
I3A,-0.586204674,-0.093497296,-0.206344051,0.047151997,0.087153635,-0.00932199,-0.052048308,0.035548605,-0.012160209,0.01537093,0.004166572,-0.005238783,0.011564608,-0.002438857,-0.003737374,-0.015753789,-0.028087166,-0.011799128,-0.002839727,-0.000431488,0.000191084,-0.001620683,-0.000690866,0.002395537,3.37E-05,-0.000223725
I3B,0.245873755,-0.0777792,-0.11629643,-0.050468702,-0.060089901,-0.081450174,-0.009970892,-0.059988054,-0.014521023,0.006246682,-0.037625586,0.022842866,-0.001419605,-0.013815203,-0.023485484,0.00568085,-0.005021556,0.006771241,-0.005608769,-0.000200087,-9.99E-05,9.18E-05,0.000762377,0.000571055,-0.000920042,3.42E-05
I3C,0.097059536,-0.134982281,0.028397992,-0.151177821,-0.026479461,-0.044843899,0.011544956,0.030999255,-0.019977669,0.03419778,0.00387499,0.006970785,-0.036381959,0.02614622,0.009076175,-0.007393315,0.008137951,-0.005035598,-0.001862115,0.000662396,0.000842794,0.00070871,-0.000696312,-0.000140422,0.000288503,-5.20E-05
I3D,0.383445026,-0.010553096,-0.021877422,-0.040678029,-0.044150837,0.009234598,0.000674974,0.003650622,-0.016195524,-0.013222038,0.008491731,-0.013597575,0.005193236,0.017487625,-0.012994491,-0.002808646,-0.003367501,-0.003744662,-0.000875542,-0.01054576,-0.007239444,-0.002869923,0.006456783,-0.001368922,-0.002645214,-0.000767036
I3E,0.381749674,0.003406383,0.032225536,0.040883931,0.04213622,-0.019614311,0.00157284,0.023092847,0.038718431,-0.021004083,0.006450665,-0.017943302,-0.005590448,-0.004554272,0.003969274,-0.011046108,0.010638394,0.002118674,-0.00557101,0.007451425,0.005185715,0.002228674,-0.001830878,0.002631703,-0.002150765,0.000101832
I3F,0.381898544,0.000544825,0.0237422,0.03337973,0.033934111,-0.008427698,0.004600203,0.009548492,0.032521704,0.014514142,-0.030901641,-0.005356155,0.004314573,-0.005671827,-0.003575621,0.002000575,-0.011965509,0.016139157,0.004284503,0.010332427,-0.000425404,-0.000455995,-0.00531892,-0.002092799,0.002161099,0.000443761
I3G,0.356104846,0.036408095,0.099457992,0.143790385,0.130167542,-0.003503941,-0.002571974,-0.03083954,-0.077377709,-0.052540586,-0.0415196,0.006854053,0.02613729,0.012123056,1.71E-05,-0.023085524,0.006994293,-0.000376426,0.010007341,-0.001296155,0.001189009,7.43E-05,0.000794719,0.000542416,9.21E-05,-4.68E-05
I3H,-0.057240373,-0.166798952,-0.144541678,0.106298327,0.007997195,0.109992409,-0.001914119,-0.05217848,-0.001090239,-0.001780219,0.025267467,0.014471733,-0.011548768,0.022245889,0.005734267,-0.004323324,0.005014194,0.00415134,-0.002993836,0.002273082,0.000530044,0.000588736,-0.000274125,0.000499668,1.96E-05,3.13E-05
I3I,0.115306374,-0.118030904,-0.171168148,-0.050466152,-0.028844508,-0.084743143,0.028475137,-0.018467549,-0.038794214,0.026199478,-0.008945542,-0.025176492,-0.026672701,-0.008211207,0.018940094,-0.007860385,0.004169385,-0.01069786,0.00684787,0.001388915,0.000934067,-0.002158763,-2.06E-05,-0.002109229,0.000484932,-0.000165347
I4A,-0.117354987,-0.172523749,0.1160704,0.109414079,0.047716645,-0.014974778,-0.046083553,0.002210697,0.027456146,0.046847481,0.048391616,-0.054418359,-0.035584412,-0.003692356,-0.000491681,0.001850161,0.001038572,0.001277625,0.002487588,-0.001530736,0.000368633,-0.000414187,6.59E-05,-0.0001997,-9.00E-05,5.70E-05
I4B,-0.598206374,0.203212274,-0.099207102,0.054964947,-0.056838628,0.017797057,0.082378871,-0.079908716,0.059027566,-0.010765051,0.001485894,0.013021382,-0.002293348,0.014888695,0.017136091,0.010625329,-0.00117356,-0.004920101,0.000164714,-0.000519295,0.000314366,0.000439627,0.000410544,0.000395948,3.35E-05,-5.02E-05
I4C,-0.429038727,0.602699212,-0.044196171,-0.048232409,0.015174752,0.004345368,0.033851693,0.08490084,-0.038292799,0.058325871,0.015742531,-0.023079495,-0.007978275,-0.004405172,0.011574428,-0.007938569,0.000726253,0.002188875,0.000440667,-0.000834285,-0.00055585,-0.00034461,2.11E-05,-0.000370287,-4.31E-05,-5.10E-05
I4D,-0.605741275,-0.116386605,0.120515486,0.031131683,-0.050364019,0.098429794,-0.079159654,0.059507416,0.011362847,0.002004506,0.00863378,-0.00443823,0.020945814,0.005453256,-0.019500783,0.006184596,0.000320209,9.87E-05,0.001236865,0.000616047,0.000489015,0.000611089,0.000370526,0.00093687,4.61E-05,0.000118691
I4E,-0.59934867,-0.102889392,0.158101946,-0.030984506,-0.035260814,0.050438136,0.069971609,0.018311166,0.001196576,-0.014613948,-0.007955844,0.003077117,-0.014743923,-0.001223593,0.001134479,0.00618189,0.010413187,0.005186399,-0.001698913,-0.000406938,-0.003152352,-0.009863805,-0.002064625,0.001586534,0.000547523,0.000155814
I4F,-0.214182991,0.813668626,-0.003724841,-0.040288078,-0.047720261,-0.006916634,-0.018943102,-0.01800527,0.034085699,0.004621254,0.023307215,0.009291187,0.017507235,-0.002878357,-0.046439256,-0.00448533,0.005745761,0.001440071,0.005781546,0.000427273,0.001020009,-0.000355858,-0.000104352,-0.000133945,-0.000490159,0.001788963
I4G,-0.131362846,0.773640866,0.021008466,0.013918733,-0.017541586,-0.007746036,-0.025425866,-0.012221656,-0.007229603,-0.018456533,-0.011273237,0.004299258,-0.002455321,-0.001542119,0.004238691,0.001798171,-0.000948463,-0.000302505,0.001239425,0.000547396,0.002065494,3.66E-05,0.000449743,0.001902618,0.001903332,-0.006087542
I4H,-0.102249051,0.75828484,0.028829085,0.031415921,-0.008614547,-0.008048501,-0.027909466,-0.007620035,-0.022423037,-0.024215731,-0.023002113,0.001499739,-0.010500341,-0.00021573,0.030271424,0.005199319,-0.005878651,-0.000747466,-0.008828519,-9.69E-05,-0.00288704,0.000412952,-0.000708493,-0.001777216,-0.001343016,0.004372027
