sample_name,reef,site,noName A,A4,B5,C1-C1c-C1b,C3,C1,D1-D4-D4c-D1c-D2,D1,,
I2A,inshore,STRI Point,0,0,0,7643,0,0,0,0,,7643
I2B,inshore,STRI Point,0,0,0,9474,0,0,0,0,,9474
I2C,inshore,STRI Point,0,0,0,3791,0,0,0,0,,3791
I2D,inshore,STRI Point,0,0,0,7307,1111,0,0,0,,8418
I2E,inshore,STRI Point,252,0,0,10362,0,0,0,0,,10614
I2F,inshore,STRI Point,0,0,0,6893,0,0,0,0,,6893
I2G,inshore,STRI Point,0,0,0,4331,0,0,0,0,,4331
I2H,inshore,STRI Point,0,0,0,0,0,0,6206,0,,6206
I2I,inshore,STRI Point,0,0,0,2985,0,0,624,0,,3609
I3A,inshore,Cristobal,0,0,0,6618,0,0,0,0,,6618
I3B,inshore,Cristobal,0,0,0,786,0,0,6272,0,,7058
I3C,inshore,Cristobal,0,0,0,2706,0,0,3755,0,,6461
I3D,inshore,Cristobal,0,0,0,0,0,0,3967,0,,3967
I3E,inshore,Cristobal,0,0,0,0,0,0,4981,0,,4981
I3F,inshore,Cristobal,0,0,0,0,0,0,8600,0,,8600
I3G,inshore,Cristobal,0,3445,0,0,0,0,0,222,,3667
I3H,inshore,Cristobal,0,0,0,3921,0,0,1076,0,,4997
I3I,inshore,Cristobal,0,0,0,6746,0,0,6065,0,,12811
I4A,inshore,Punta Donato,0,0,0,9811,0,0,1383,0,,11194
I4B,inshore,Punta Donato,0,0,0,4699,1310,0,0,0,,6009
I4C,inshore,Punta Donato,0,0,0,3331,5720,0,0,0,,9051
I4D,inshore,Punta Donato,0,0,0,10685,0,0,0,0,,10685
I4E,inshore,Punta Donato,0,0,0,8709,554,0,0,0,,9263
I4F,inshore,Punta Donato,0,0,96,0,6489,0,0,0,,6585
I4G,inshore,Punta Donato,0,0,608,0,11102,0,0,0,,11710
I4H,inshore,Punta Donato,0,0,0,0,9971,0,0,0,,9971
I4I,inshore,Punta Donato,0,0,0,6698,0,0,0,0,,6698
O2A,offshore,Bastimentos S,0,0,0,3137,0,0,3053,0,,6190
O2B,offshore,Bastimentos S,0,0,0,6703,0,0,0,0,,6703
O2C,offshore,Bastimentos S,0,0,0,0,0,0,5618,0,,5618
O2D,offshore,Bastimentos S,0,0,0,0,0,0,2148,0,,2148
O2E,offshore,Bastimentos S,0,0,0,4734,0,0,0,0,,4734
O2F,offshore,Bastimentos S,0,0,0,0,0,0,6339,0,,6339
O2G,offshore,Bastimentos S,0,0,0,0,0,0,3806,0,,3806
O2H,offshore,Bastimentos S,0,0,0,0,0,215,7913,0,,8128
O2I,offshore,Bastimentos S,0,0,0,12345,0,0,0,0,,12345
O3A,offshore,Cayo de Agua,0,0,0,0,0,0,8232,0,,8232
O3B,offshore,Cayo de Agua,0,0,0,5659,0,0,17662,0,,23321
O3C,offshore,Cayo de Agua,0,0,0,215,0,0,4053,0,,4268
O3D,offshore,Cayo de Agua,0,0,0,0,0,0,16597,0,,16597
O3E,offshore,Cayo de Agua,0,0,0,5043,0,0,8738,0,,13781
O3F,offshore,Cayo de Agua,0,0,0,0,0,0,14276,0,,14276
O3G,offshore,Cayo de Agua,0,0,0,3232,0,0,6553,0,,9785
O3H,offshore,Cayo de Agua,0,0,0,1360,0,0,8400,0,,9760
O3I,offshore,Cayo de Agua,0,0,0,0,0,0,6807,0,,6807
O4A,offshore,Bastimentos N,0,0,0,0,0,0,15429,0,,15429
O4B,offshore,Bastimentos N,0,0,0,860,0,0,6641,0,,7501
O4C,offshore,Bastimentos N,0,0,0,0,0,0,3783,0,,3783
O4D,offshore,Bastimentos N,0,0,0,0,0,0,2470,0,,2470
O4E,offshore,Bastimentos N,0,0,0,0,0,0,6554,0,,6554
O4F,offshore,Bastimentos N,0,0,0,0,0,0,7634,0,,7634
O4G,offshore,Bastimentos N,0,0,0,0,0,0,6749,0,,6749
O4H,offshore,Bastimentos N,0,0,0,155,0,0,4589,0,,4744
O4I,offshore,Bastimentos N,0,0,0,0,0,0,3914,0,,3914
,,,,,,,,,,,,
,,total,252,3445,704,160939,36257,215,220887,222,422921,
,,Rel Abu,0.059585596,0.814572934,0.166461349,38.05415196,8.572995902,0.050836918,52.22890327,0.052492073,,
,,,,,,,,,,,,
,,,4.666666667,63.7962963,13.03703704,2980.351852,671.4259259,3.981481481,4090.5,4.111111111,,
