sample,id,reef,site
I2A_S30_L001_R1_001,I2A,Inshore,STRI Point
I2B_S77_L001_R1_001,I2B,Inshore,STRI Point
I2C_S90_L001_R1_001,I2C,Inshore,STRI Point
I2D_S54_L001_R1_001,I2D,Inshore,STRI Point
I2E_S41_L001_R1_001,I2E,Inshore,STRI Point
I2F_S4_L001_R1_001,I2F,Inshore,STRI Point
I2G_S89_L001_R1_001,I2G,Inshore,STRI Point
I2H_S27_L001_R1_001,I2H,Inshore,STRI Point
I2I_S31_L001_R1_001,I2I,Inshore,STRI Point
I3A_S87_L001_R1_001,I3A,Inshore,Cristobal
I3B_S42_L001_R1_001,I3B,Inshore,Cristobal
I3C_S52_L001_R1_001,I3C,Inshore,Cristobal
I3D_S3_L001_R1_001,I3D,Inshore,Cristobal
I3E_S17_L001_R1_001,I3E,Inshore,Cristobal
I3F_S65_L001_R1_001,I3F,Inshore,Cristobal
I3G_S55_L001_R1_001,I3G,Inshore,Cristobal
I3H_S76_L001_R1_001,I3H,Inshore,Cristobal
I3I_S37_L001_R1_001,I3I,Inshore,Cristobal
I4A_S40_L001_R1_001,I4A,Inshore,Punta Donato
I4B_S15_L001_R1_001,I4B,Inshore,Punta Donato
I4C_S53_L001_R1_001,I4C,Inshore,Punta Donato
I4D_S28_L001_R1_001,I4D,Inshore,Punta Donato
I4E_S67_L001_R1_001,I4E,Inshore,Punta Donato
I4F_S6_L001_R1_001,I4F,Inshore,Punta Donato
I4G_S74_L001_R1_001,I4G,Inshore,Punta Donato
I4H_S19_L001_R1_001,I4H,Inshore,Punta Donato
I4I_S85_L001_R1_001,I4I,Inshore,Punta Donato
O2A_S18_L001_R1_001,O2A,Offshore,Bastimentos S
O2B_S39_L001_R1_001,O2B,Offshore,Bastimentos S
O2C_S64_L001_R1_001,O2C,Offshore,Bastimentos S
O2D_S75_L001_R1_001,O2D,Offshore,Bastimentos S
O2E_S14_L001_R1_001,O2E,Offshore,Bastimentos S
O2F_S66_L001_R1_001,O2F,Offshore,Bastimentos S
O2G_S43_L001_R1_001,O2G,Offshore,Bastimentos S
O2H_S13_L001_R1_001,O2H,Offshore,Bastimentos S
O2I_S49_L001_R1_001,O2I,Offshore,Bastimentos S
O3A_S16_L001_R1_001,O3A,Offshore,Cayo de Agua
O3B_S7_L001_R1_001,O3B,Offshore,Cayo de Agua
O3C_S61_L001_R1_001,O3C,Offshore,Cayo de Agua
O3D_S50_L001_R1_001,O3D,Offshore,Cayo de Agua
O3E_S1_L001_R1_001,O3E,Offshore,Cayo de Agua
O3F_S73_L001_R1_001,O3F,Offshore,Cayo de Agua
O3G_S29_L001_R1_001,O3G,Offshore,Cayo de Agua
O3H_S26_L001_R1_001,O3H,Offshore,Cayo de Agua
O3I_S2_L001_R1_001,O3I,Offshore,Cayo de Agua
O4A_S25_L001_R1_001,O4A,Offshore,Bastimentos N
O4B_S86_L001_R1_001,O4B,Offshore,Bastimentos N
O4C_S51_L001_R1_001,O4C,Offshore,Bastimentos N
O4D_S62_L001_R1_001,O4D,Offshore,Bastimentos N
O4E_S63_L001_R1_001,O4E,Offshore,Bastimentos N
O4F_S5_L001_R1_001,O4F,Offshore,Bastimentos N
O4G_S38_L001_R1_001,O4G,Offshore,Bastimentos N
O4H_S78_L001_R1_001,O4H,Offshore,Bastimentos N
O4I_S88_L001_R1_001,O4I,Offshore,Bastimentos N
